"site";"lgt";"ec1";"";"";"";""
"theme";"ges";"";"";"";"";""
"frequence";"semi-horaire";"";"";"";"";""
"date de debut";"20/01/2017";"";"";"";"";""
"date de fin";"31/12/2017";"";"";"";"";""
"commentaire";"Flux 2017 de FR-LGt v1";"";"";"";"";""
"";"";"";"";"";"";""
"";"";"";"";"";"";""
"date";"time";"FC";"H";"ETR";"LE";"FCH4"
"";"";"";"";"";"";""
"20/01/2017";"00:00";"0.92128";"-12.959";"0.000322808355008842";"-0.92174";"-0.0053645"
"20/01/2017";"00:30";"1.0043";"-12.822";"0.000188453937013518";"0.098191";"0.0028767"
"20/01/2017";"01:00";"1.001";"-11.054";"-0.000948315790375381";"0.73494";"0.0091421"
"20/01/2017";"01:30";"0.94876";"-13.048";"-0.000445273190230463";"0.26883";"-0.0031151"
"20/01/2017";"02:00";"0.98669";"-15.852";"0.0000148201148767986";"1.0092";"-0.0034403"
"20/01/2017";"02:30";"0.96948";"-17.603";"-0.000615815659462593";"0.26724";"0.01578"
"20/01/2017";"03:00";"0.8856";"-19.425";"0.00249994852539137";"-1.3764";"0.014945"
"20/01/2017";"03:30";"0.97974";"-17.815";"0.0000767327106045584";"-1.6737";"0.021576"
"20/01/2017";"04:00";"1.1163";"-11.39";"0.000345004137498769";"-1.9302";"0.01431"
"20/01/2017";"04:30";"1.1679";"0.19759";"-0.003586261955846";"-4.0107";"0.018371"
"20/01/2017";"05:00";"1.3869";"-1.0303";"0.000221089643741146";"-3.1016";"0.0019935"
"20/01/2017";"05:30";"1.5301";"-0.77325";"0.0000663610675541511";"-1.6246";"-0.001489"
"20/01/2017";"06:00";"1.7041";"-3.7701";"-0.0000154668431479649";"-1.9739";"-0.001489"
"20/01/2017";"06:30";"1.5752";"4.2727";"0.000383622241690824";"-1.9247";"-0.0060906"
"20/01/2017";"07:00";"1.4393";"2.2848";"-0.00118618455147132";"-0.86905";"-0.0065369"
"20/01/2017";"07:30";"1.3134";"3.7275";"0.000620763771195908";"-1.7714";"-0.0040871"
"20/01/2017";"08:00";"1.1641";"5.1413";"0.0000304783835174226";"0.79112";"-0.0040871"
"20/01/2017";"08:30";"0.83384";"10.658";"-0.0360878390132798";"3.1667";"-0.0032648"
"20/01/2017";"09:00";"0.88409";"8.5593";"-0.00135675152722642";"4.6409";"0.0046015"
"20/01/2017";"09:30";"0.93996";"11.82";"0.00222399531848886";"4.9336";"0.0061987"
"20/01/2017";"10:00";"0.7832";"17.633";"-0.0223294110265159";"8.6724";"0.0045202"
"20/01/2017";"10:30";"0.28294";"23.808";"0.00321014996161447";"10.916";"0.0044806"
"20/01/2017";"11:00";"0.13167";"25.52";"0.00805949418460166";"12.478";"0.0055363"
"20/01/2017";"11:30";"0.19878";"32.586";"0.00490420910423745";"16.571";"-0.0020963"
"20/01/2017";"12:00";"0.22924";"25.15";"0.0437919310576505";"13.074";"-0.0020963"
"20/01/2017";"12:30";"0.29851";"-9.6129";"0.0563976767221103";"12.69";"0.006826"
"20/01/2017";"13:00";"0.38562";"-9.6129";"0.0730902383206825";"16.776";"0.0033608"
"20/01/2017";"13:30";"0.40157";"-21.62";"0.0592628310830529";"14.345";"0.0011057"
"20/01/2017";"14:00";"0.47907";"-28.672";"0.0400287569685171";"16.5";"0.00088793"
"20/01/2017";"14:30";"0.63634";"-33.68";"0.0402989741662331";"20.011";"-0.0012735"
"20/01/2017";"15:00";"0.74835";"-31.982";"0.0449390040362696";"21.222";"0.00065567"
"20/01/2017";"15:30";"0.91901";"-31.982";"0.0232870831770481";"16.49";"0.00065567"
"20/01/2017";"16:00";"1.0302";"-32.366";"0.00891717938287164";"17.478";"0.0012393"
"20/01/2017";"16:30";"1.1832";"-28.001";"0.000812024503292875";"15.791";"0.0012393"
"20/01/2017";"17:00";"1.2482";"-26.85";"0.00195508170670036";"11.974";"-0.00090244"
"20/01/2017";"17:30";"1.3212";"-32.663";"0.00107036052111182";"11.974";"0.0054919"
"20/01/2017";"18:00";"1.2889";"-45.891";"0.00109898690572468";"8.9555";"0.0087661"
"20/01/2017";"18:30";"1.159";"-9.0465";"0.00164620200457969";"3.2873";"0.0042651"
"20/01/2017";"19:00";"1.0515";"-5.7021";"0.00139495615827957";"0.86709";"0.0081703"
"20/01/2017";"19:30";"4.1226";"-48.617";"0.000822391504116377";"-2.2726";"0.010136"
"20/01/2017";"20:00";"4.2912";"-48.617";"0.000380943151291003";"-2.8205";"0.010136"
"20/01/2017";"20:30";"4.2362";"-48.617";"-0.0000784177892148352";"-3.3069";"0.010136"
"20/01/2017";"21:00";"4.3016";"-69.52";"-0.000046411537899141";"-4.8422";"0.0086376"
"20/01/2017";"21:30";"4.2072";"-69.52";"0.0000236084479751104";"-6.1461";"0.0086376"
"20/01/2017";"22:00";"1.6536";"-22.93";"0.000455105231549082";"-3.2117";"-0.0028102"
"20/01/2017";"22:30";"0.86375";"-33.333";"0.000272250033452334";"-1.4117";"-0.019662"
"20/01/2017";"23:00";"0.87402";"-15.794";"-0.000833942520320431";"-1.1861";"-0.0053645"
"20/01/2017";"23:30";"0.83648";"-13.987";"-0.000314162886437017";"-1.1861";"-0.0053645"
"21/01/2017";"00:00";"0.87188";"-12.959";"-0.000580437834489936";"-1.1861";"-0.0053645"
"21/01/2017";"00:30";"0.97253";"-12.822";"-0.000225197967999758";"-0.24489";"0.0028767"
"21/01/2017";"01:00";"1.001";"-11.054";"0.00436014660619793";"0.73494";"0.0091421"
"21/01/2017";"01:30";"0.94876";"-13.048";"-0.0000228643004555837";"0.26883";"-0.0031151"
"21/01/2017";"02:00";"0.98669";"-15.852";"0.000738131956191553";"1.0092";"-0.0034403"
"21/01/2017";"02:30";"0.96948";"-17.603";"0.00107333460797391";"0.26724";"0.01578"
"21/01/2017";"03:00";"0.8856";"-19.425";"0.00304752375047475";"-1.3764";"0.014945"
"21/01/2017";"03:30";"0.97974";"-17.815";"0.000323293661568757";"-1.6737";"0.021576"
"21/01/2017";"04:00";"1.1163";"-11.39";"-0.00145461163023092";"-1.9302";"0.01431"
"21/01/2017";"04:30";"1.0894";"0.19759";"-0.00175819419537186";"-3.7031";"0.018371"
"21/01/2017";"05:00";"1.2908";"-1.0303";"-0.0011645851343441";"-2.9758";"0.0019935"
"21/01/2017";"05:30";"1.4104";"-0.77325";"-0.000342482978207012";"-0.43229";"-0.001489"
"21/01/2017";"06:00";"1.5191";"-3.7701";"0.000961075555537683";"-0.85211";"-0.001489"
"21/01/2017";"06:30";"1.4385";"4.2727";"-0.000635892484245438";"-0.63235";"-0.0060906"
"21/01/2017";"07:00";"1.4474";"2.2848";"0.00299708848631884";"0.94252";"-0.0065369"
"21/01/2017";"07:30";"1.2603";"3.7275";"0.000734733358937213";"0.51525";"-0.0040871"
"21/01/2017";"08:00";"1.0907";"5.1413";"0.00606063073194215";"4.311";"-0.0040871"
"21/01/2017";"08:30";"0.81271";"10.658";"0.00529330811165691";"10.494";"-0.0032648"
"21/01/2017";"09:00";"0.81087";"8.5593";"-0.00378242432839278";"10.494";"0.0046015"
"21/01/2017";"09:30";"0.77119";"11.82";"0.00147649992317553";"8.9079";"0.0061987"
"21/01/2017";"10:00";"0.70795";"17.633";"0.00456370672130222";"8.178";"0.0045202"
"21/01/2017";"10:30";"0.5412";"23.808";"-0.00753078115153506";"1.1611";"0.0044806"
"21/01/2017";"11:00";"0.48047";"25.52";"-0.0168273901218625";"4.1289";"0.0055363"
"21/01/2017";"11:30";"0.41679";"32.586";"0.024532297955304";"4.522";"-0.0020963"
"21/01/2017";"12:00";"0.37748";"25.15";"0.0556203116828584";"4.9077";"-0.0020963"
"21/01/2017";"12:30";"0.41755";"-11.084";"0.0727794201100694";"7.9537";"0.0089143"
"21/01/2017";"13:00";"0.41339";"-11.084";"0.0663709745091159";"16.776";"0.0073002"
"21/01/2017";"13:30";"0.40662";"-19.722";"0.0851576059651093";"14.345";"0.0034114"
"21/01/2017";"14:00";"0.4486";"-23.002";"0.0683106553893865";"16.5";"0.0022348"
"21/01/2017";"14:30";"0.55492";"-27.389";"0.0468371117769591";"20.011";"0.0012802"
"21/01/2017";"15:00";"0.59943";"-28.202";"0.0363314693568202";"21.222";"0.000086685"
"21/01/2017";"15:30";"0.77988";"-28.202";"0.0267932713717669";"16.49";"0.000086685"
"21/01/2017";"16:00";"0.86494";"-30.766";"0.023143811009702";"16.262";"0.0020257"
"21/01/2017";"16:30";"1.0273";"-31.247";"0.00129912581610741";"14.786";"0.0028558"
"21/01/2017";"17:00";"1.1216";"-32.643";"-0.00266602928490709";"11.27";"0.0063406"
"21/01/2017";"17:30";"1.2377";"-45.891";"0.00429756135192841";"11.27";"0.0054919"
"21/01/2017";"18:00";"1.2889";"-45.891";"-0.00262935367276548";"8.755";"0.0087661"
"21/01/2017";"18:30";"1.159";"-9.0465";"0.00448594458224401";"3.2873";"0.0042651"
"21/01/2017";"19:00";"1.0515";"-5.7021";"0.000443656015400606";"0.86709";"0.0081703"
"21/01/2017";"19:30";"4.1226";"-48.617";"0.00116541482466016";"-2.2726";"0.010136"
"21/01/2017";"20:00";"4.2912";"-48.617";"0.000315121307638851";"-2.8205";"0.010136"
"21/01/2017";"20:30";"4.2362";"-48.617";"0.000188118266241675";"-3.3069";"0.010136"
"21/01/2017";"21:00";"4.3016";"-69.52";"0.000523465603973883";"-4.8422";"0.0086376"
"21/01/2017";"21:30";"4.2072";"-69.52";"-0.0014527306449545";"-6.1461";"0.0086376"
"21/01/2017";"22:00";"1.6536";"-22.93";"0.000685974595405019";"-3.2117";"-0.0028102"
"21/01/2017";"22:30";"0.87877";"-33.333";"-0.0000410605275050099";"-0.60222";"-0.019662"
"21/01/2017";"23:00";"0.91863";"-15.794";"0.000149176736181703";"-0.29875";"-0.0053645"
"21/01/2017";"23:30";"0.85453";"-13.987";"0.000110833463704115";"-0.50425";"-0.0053645"
"22/01/2017";"00:00";"0.88112";"-12.959";"0.00118969962457814";"-0.50425";"-0.0053645"
"22/01/2017";"00:30";"0.94925";"-12.822";"-0.000730720803730751";"0.03356";"0.0028767"
"22/01/2017";"01:00";"0.95488";"-11.054";"0.000704185913340917";"0.15671";"0.0091421"
"22/01/2017";"01:30";"0.86884";"-13.048";"8.02718412491599E-06";"-0.23269";"-0.0031151"
"22/01/2017";"02:00";"0.98669";"-15.852";"-0.000187754233632431";"1.0092";"-0.0034403"
"22/01/2017";"02:30";"0.96948";"-17.603";"-0.000637756633714289";"0.26724";"0.01578"
"22/01/2017";"03:00";"0.8856";"-19.425";"0.000155097614989505";"-1.3764";"0.014945"
"22/01/2017";"03:30";"0.97974";"-17.815";"0.00104790531705701";"-1.6737";"0.021576"
"22/01/2017";"04:00";"1.1163";"-11.39";"-0.00230989664876402";"-1.9302";"0.01431"
"22/01/2017";"04:30";"1.0883";"0.19759";"-0.000190459688387285";"-1.982";"0.018371"
"22/01/2017";"05:00";"1.2199";"-1.0303";"-0.0000734981971629415";"-1.4655";"0.0019935"
"22/01/2017";"05:30";"1.2703";"-0.77325";"-0.00012012184114056";"0.25339";"-0.001489"
"22/01/2017";"06:00";"1.3184";"-3.7701";"0.0000770853238228019";"-0.22952";"-0.001489"
"22/01/2017";"06:30";"1.2103";"4.2727";"0.0000314462568363779";"-0.013843";"-0.0060906"
"22/01/2017";"07:00";"1.1807";"2.2848";"-0.000300138096478177";"0.031506";"-0.0065369"
"22/01/2017";"07:30";"1.0678";"3.7275";"0.00018708665240771";"0.00026491";"-0.0040871"
"22/01/2017";"08:00";"0.92553";"5.1413";"0.00263599816708814";"1.8123";"-0.0040871"
"22/01/2017";"08:30";"0.75103";"10.658";"-0.000976641698548589";"6.0747";"-0.0032648"
"22/01/2017";"09:00";"0.697";"-3.4213";"0.00205846712249922";"6.0747";"0.0046015"
"22/01/2017";"09:30";"0.60579";"-3.4213";"0.000664180606666772";"7.0239";"0.0061987"
"22/01/2017";"10:00";"0.51277";"-3.4213";"-0.000794472662661821";"8.178";"0.0045202"
"22/01/2017";"10:30";"0.35596";"23.808";"-0.0480739774866899";"1.1611";"0.0044806"
"22/01/2017";"11:00";"0.20593";"25.52";"-0.00620270851610538";"4.1289";"0.0055363"
"22/01/2017";"11:30";"0.24106";"32.586";"0.0222619963684514";"4.522";"-0.0020963"
"22/01/2017";"12:00";"0.19245";"25.15";"0.0144234870514945";"4.9077";"-0.0020963"
"22/01/2017";"12:30";"0.20652";"-11.084";"0.0786388883697386";"7.9537";"0.0089143"
"22/01/2017";"13:00";"0.22486";"-11.084";"0.0709422401898895";"16.776";"0.0073002"
"22/01/2017";"13:30";"0.29652";"-18.36";"0.0711494125730922";"17.344";"0.0034114"
"22/01/2017";"14:00";"0.32917";"-21.561";"0.0555274547068533";"19.23";"0.0022348"
"22/01/2017";"14:30";"0.46319";"-22.737";"0.0492911669527569";"22.048";"0.0012802"
"22/01/2017";"15:00";"0.55391";"-20.325";"0.0129086351409934";"22.898";"0.000086685"
"22/01/2017";"15:30";"0.75102";"-18.913";"0.00918024017187705";"17.343";"0.000086685"
"22/01/2017";"16:00";"0.81844";"-22.237";"0.00129062606768653";"15.062";"0.0020257"
"22/01/2017";"16:30";"0.95268";"-20.405";"0.00527272901612852";"13.881";"0.0028558"
"22/01/2017";"17:00";"1.0646";"-20.988";"0.00688824158415779";"11.018";"0.0063406"
"22/01/2017";"17:30";"1.1831";"-32.663";"-0.00109027789259742";"9.8507";"0.0027794"
"22/01/2017";"18:00";"1.2889";"-45.891";"0.000302076970865405";"8.755";"0.004058"
"22/01/2017";"18:30";"1.159";"-8.8872";"-0.00279491325935892";"3.2873";"0.00033698"
"22/01/2017";"19:00";"1.0515";"-5.7021";"0.0053689984720996";"0.86709";"0.0041285"
"22/01/2017";"19:30";"4.1226";"-48.617";"0.00131273903742167";"-2.2726";"0.010136"
"22/01/2017";"20:00";"4.2912";"-48.617";"-0.00123488512847889";"-2.8205";"0.010136"
"22/01/2017";"20:30";"4.2362";"-44.816";"0.000241366265267554";"-4.7758";"0.010136"
"22/01/2017";"21:00";"4.3016";"-57.485";"-0.0171874877452026";"-6.4389";"0.0086376"
"22/01/2017";"21:30";"4.0009";"-57.485";"-0.00841820330977667";"-7.2394";"0.0086376"
"22/01/2017";"22:00";"1.5883";"-22.93";"-0.00174578535698146";"-5.2057";"-0.0024707"
"22/01/2017";"22:30";"0.97435";"-33.333";"-0.00168276111583034";"-3.0822";"-0.019662"
"22/01/2017";"23:00";"0.97718";"-21.389";"0.000720081367245863";"-0.84245";"-0.0053645"
"22/01/2017";"23:30";"0.93018";"-17.115";"0.00136607322905748";"-0.43788";"-0.0053645"
"23/01/2017";"00:00";"0.95112";"-15.048";"0.000823358628624904";"-0.27519";"-0.0053645"
"23/01/2017";"00:30";"1.0421";"-14.466";"0.000947162913574499";"0.11849";"0.0028767"
"23/01/2017";"01:00";"1.0082";"-12.344";"0.00110545173199478";"0.10798";"0.0091421"
"23/01/2017";"01:30";"0.98881";"-13.048";"0.000370117734441353";"-0.28696";"-0.0035146"
"23/01/2017";"02:00";"1.0545";"-15.852";"0.0020124456171557";"-0.066904";"-0.0034403"
"23/01/2017";"02:30";"0.98911";"-17.603";"-0.000133789582678162";"-0.33326";"0.026144"
"23/01/2017";"03:00";"0.88843";"-19.425";"0.00118308362269917";"-1.766";"0.021576"
"23/01/2017";"03:30";"0.92074";"-17.815";"0.000504218116266194";"-2.0818";"0.021576"
"23/01/2017";"04:00";"1.0047";"-17.815";"0.000221012161541641";"-2.2087";"0.015318"
"23/01/2017";"04:30";"1.0218";"0.19759";"-0.000267724366009961";"-1.7045";"0.021069"
"23/01/2017";"05:00";"1.1463";"-1.0303";"-0.00352125923963614";"-1.3336";"-0.00076705"
"23/01/2017";"05:30";"1.2212";"-0.77325";"0.00195152741368944";"0.078745";"-0.0073712"
"23/01/2017";"06:00";"1.3004";"-3.7701";"0.000101365776344869";"-0.26586";"-0.0073712"
"23/01/2017";"06:30";"1.2064";"4.2727";"0.00110955002226967";"0.22489";"-0.0060906"
"23/01/2017";"07:00";"1.1891";"2.2848";"0.00200295495741699";"0.33012";"-0.0065369"
"23/01/2017";"07:30";"1.0694";"3.7275";"0.00388741681509898";"0.30583";"-0.0018335"
"23/01/2017";"08:00";"0.90139";"-9.3986";"0.0020700519571684";"1.8631";"-0.0018335"
"23/01/2017";"08:30";"0.7214";"-2.3231";"0.00201537632023713";"5.4235";"-0.0014882"
"23/01/2017";"09:00";"0.66372";"-1.5045";"0.00394304321023276";"6.0747";"-0.0014882"
"23/01/2017";"09:30";"0.55743";"1.6618";"0.0413980622604804";"7.0239";"-0.0013387"
"23/01/2017";"10:00";"0.42684";"12.73";"-0.00917324546115895";"15.745";"-0.004331"
"23/01/2017";"10:30";"0.32247";"25.32";"0.0100074208617537";"17.261";"-0.0023575"
"23/01/2017";"11:00";"0.16724";"29.817";"0.0265939489483622";"19.24";"-0.0031374"
"23/01/2017";"11:30";"0.1976";"44.25";"0.0867705049022284";"17.362";"-0.0031374"
"23/01/2017";"12:00";"0.15864";"27.969";"0.0666043408033782";"17.637";"-0.0031374"
"23/01/2017";"12:30";"0.17232";"2.3281";"0.0849678721161139";"15.446";"0.0066323"
"23/01/2017";"13:00";"0.16224";"-11.084";"-9999";"16.776";"0.0073002"
"23/01/2017";"13:30";"0.21747";"-18.36";"-9999";"19.056";"0.0034114"
"23/01/2017";"14:00";"0.23743";"-21.561";"-9999";"20.733";"0.0021842"
"23/01/2017";"14:30";"0.35798";"-20.254";"-9999";"23.118";"0.0013805"
"23/01/2017";"15:00";"0.48203";"-17.008";"-9999";"22.289";"0.00040045"
"23/01/2017";"15:30";"0.67722";"-16.108";"-9999";"17.683";"0.00040045"
"23/01/2017";"16:00";"0.77081";"-18.877";"-9999";"14.269";"0.0018302"
"23/01/2017";"16:30";"0.92247";"-16.74";"-9999";"13.196";"0.0024249"
"23/01/2017";"17:00";"1.0565";"-18.533";"-9999";"10.498";"0.0044608"
"23/01/2017";"17:30";"1.1831";"-32.663";"-9999";"9.8507";"0.0027794"
"23/01/2017";"18:00";"1.2889";"-45.891";"-9999";"8.755";"0.004058"
"23/01/2017";"18:30";"1.159";"-4.6006";"-9999";"3.2873";"0.00033698"
"23/01/2017";"19:00";"1.0515";"-5.7021";"-9999";"0.86709";"0.0041285"
"23/01/2017";"19:30";"4.1226";"-48.617";"-9999";"-2.2726";"0.010136"
"23/01/2017";"20:00";"4.2912";"-48.617";"-9999";"-2.8205";"0.010136"
"23/01/2017";"20:30";"4.2362";"-44.816";"-9999";"-4.7758";"0.010136"
"23/01/2017";"21:00";"4.3016";"-57.485";"-9999";"-6.4389";"0.0086376"
"23/01/2017";"21:30";"4.0009";"-57.485";"-9999";"-7.2394";"0.0086376"
"23/01/2017";"22:00";"1.5883";"-21.993";"-9999";"-5.2057";"-0.0024707"
"23/01/2017";"22:30";"0.97435";"-33.333";"-9999";"-3.0822";"-0.019662"
"23/01/2017";"23:00";"1.1116";"-15.794";"-9999";"-0.97922";"-0.0053645"
"23/01/2017";"23:30";"1.1459";"-13.987";"-9999";"-0.51931";"-0.0053645"
"24/01/2017";"00:00";"1.1719";"-12.959";"-9999";"-0.38165";"-0.0053645"
"24/01/2017";"00:30";"1.2384";"-12.822";"-9999";"-0.048535";"0.0028767"
"24/01/2017";"01:00";"1.2071";"-11.054";"-9999";"-0.10704";"0.0091421"
"24/01/2017";"01:30";"1.0698";"-13.048";"-9999";"-0.16748";"-0.00073777"
"24/01/2017";"02:00";"1.039";"-15.852";"-9999";"-0.13852";"-0.0034403"
"24/01/2017";"02:30";"0.98282";"-17.603";"-9999";"-0.2572";"0.01578"
"24/01/2017";"03:00";"0.91621";"-19.425";"-9999";"-1.1326";"0.014945"
"24/01/2017";"03:30";"0.95335";"-17.815";"-9999";"-1.2508";"0.021576"
"24/01/2017";"04:00";"1.0099";"-17.815";"-9999";"-1.4277";"0.015318"
"24/01/2017";"04:30";"1.0028";"0.19759";"-9999";"-1.2594";"0.021069"
"24/01/2017";"05:00";"1.1528";"-2.275";"-9999";"-1.058";"-0.00076705"
"24/01/2017";"05:30";"1.2081";"-1.5174";"-9999";"0.028741";"-0.0073712"
"24/01/2017";"06:00";"1.26";"-5.0774";"-9999";"-0.26107";"-0.0073712"
"24/01/2017";"06:30";"1.1833";"4.2727";"-9999";"0.14306";"-0.0051973"
"24/01/2017";"07:00";"1.1846";"2.2848";"-9999";"0.094878";"-0.0065369"
"24/01/2017";"07:30";"1.0683";"3.7275";"-9999";"0.058447";"-0.0040871"
"24/01/2017";"08:00";"0.96815";"5.1413";"-9999";"0.79112";"-0.0040871"
"24/01/2017";"08:30";"0.81452";"10.658";"-9999";"3.1667";"-0.0032648"
"24/01/2017";"09:00";"0.74323";"4.8499";"-9999";"3.462";"-0.0032648"
"24/01/2017";"09:30";"0.61271";"8.0206";"-9999";"4.1673";"-0.0037573"
"24/01/2017";"10:00";"0.47684";"16.674";"-9999";"9.51";"-0.004331"
"24/01/2017";"10:30";"0.36945";"24.748";"-9999";"12.502";"-0.0023575"
"24/01/2017";"11:00";"0.25351";"27.332";"-9999";"14.847";"-0.0031374"
"24/01/2017";"11:30";"0.27551";"39.726";"-9999";"15.326";"-0.0031374"
"24/01/2017";"12:00";"0.23857";"28.647";"-9999";"17.637";"-0.0031374"
"24/01/2017";"12:30";"0.2382";"2.3281";"-9999";"15.446";"0.0066323"
"24/01/2017";"13:00";"0.20948";"-11.084";"-9999";"16.776";"0.0073002"
"24/01/2017";"13:30";"0.25641";"-15.579";"-9999";"19.056";"0.0026205"
"24/01/2017";"14:00";"0.28161";"-19.075";"-9999";"20.733";"0.0018615"
"24/01/2017";"14:30";"0.37665";"-18.565";"-9999";"23.118";"0.0012447"
"24/01/2017";"15:00";"0.49097";"-15.73";"-9999";"22.289";"0.0002499"
"24/01/2017";"15:30";"0.65527";"-14.997";"-9999";"17.683";"0.0002499"
"24/01/2017";"16:00";"0.75152";"-18.877";"-9999";"14.269";"0.0013455"
"24/01/2017";"16:30";"0.89744";"-16.74";"-9999";"13.196";"0.0016317"
"24/01/2017";"17:00";"1.0322";"-18.533";"-9999";"10.498";"0.0028472"
"24/01/2017";"17:30";"1.1831";"-32.663";"-9999";"9.8507";"0.0028901"
"24/01/2017";"18:00";"1.2889";"-45.891";"-9999";"8.755";"0.0019751"
"24/01/2017";"18:30";"1.159";"-8.348";"-9999";"3.2873";"0.0042651"
"24/01/2017";"19:00";"1.0515";"-5.7021";"-9999";"0.86709";"0.0081703"
"24/01/2017";"19:30";"4.1226";"-48.617";"-9999";"-2.2726";"0.010136"
"24/01/2017";"20:00";"4.2912";"-48.617";"-9999";"-2.8205";"0.010136"
"24/01/2017";"20:30";"4.2362";"-44.816";"-9999";"-4.7758";"0.010136"
"24/01/2017";"21:00";"4.3016";"-57.485";"-9999";"-6.4389";"0.0086376"
"24/01/2017";"21:30";"4.0009";"-57.485";"-9999";"-7.2394";"0.0086376"
"24/01/2017";"22:00";"1.5883";"-21.993";"-9999";"-5.2057";"-0.0084527"
"24/01/2017";"22:30";"0.97435";"-33.333";"-9999";"-3.0822";"-0.019662"
"24/01/2017";"23:00";"1.1116";"-15.794";"-9999";"-0.97922";"-0.0053645"
"24/01/2017";"23:30";"1.1459";"-13.987";"-9999";"-0.51931";"-0.0053645"
"25/01/2017";"00:00";"1.1719";"-12.959";"-9999";"-0.38165";"-0.0053645"
"25/01/2017";"00:30";"1.2384";"-12.822";"-9999";"-0.048535";"0.0028767"
"25/01/2017";"01:00";"1.2071";"-11.054";"-9999";"-0.10704";"0.0091421"
"25/01/2017";"01:30";"1.0698";"-13.048";"-9999";"-0.16748";"-0.0052779"
"25/01/2017";"02:00";"1.039";"-15.852";"-9999";"-0.13852";"-0.0034403"
"25/01/2017";"02:30";"0.98282";"-17.603";"-9999";"-0.2572";"0.01578"
"25/01/2017";"03:00";"0.91621";"-19.425";"-9999";"-1.1326";"0.014945"
"25/01/2017";"03:30";"0.95335";"-17.815";"-9999";"-1.2508";"0.021576"
"25/01/2017";"04:00";"1.0099";"-11.39";"-9999";"-1.1688";"0.01431"
"25/01/2017";"04:30";"1.0028";"0.19759";"-9999";"-1.0393";"0.018371"
"25/01/2017";"05:00";"1.1528";"-1.0303";"-9999";"-0.87304";"0.0019935"
"25/01/2017";"05:30";"1.2081";"-0.77325";"-9999";"0.10964";"-0.001489"
"25/01/2017";"06:00";"1.26";"-3.7701";"-9999";"-0.1774";"-0.001489"
"25/01/2017";"06:30";"1.1833";"4.2727";"-9999";"0.14306";"-0.0060906"
"25/01/2017";"07:00";"1.1846";"2.2848";"-9999";"0.094878";"-0.0065369"
"25/01/2017";"07:30";"1.0683";"3.7275";"-9999";"0.058447";"-0.0040871"
"25/01/2017";"08:00";"0.96815";"5.1413";"-9999";"0.79112";"-0.0040871"
"25/01/2017";"08:30";"0.81452";"10.658";"-9999";"3.1667";"-0.0032648"
"25/01/2017";"09:00";"0.5016";"8.5593";"-9999";"4.6409";"0.0046015"
"25/01/2017";"09:30";"0.34462";"11.82";"-9999";"4.9336";"0.0061987"
"25/01/2017";"10:00";"0.20386";"17.633";"-9999";"8.6724";"0.0045202"
"25/01/2017";"10:30";"0.23207";"23.808";"-9999";"10.916";"0.0044806"
"25/01/2017";"11:00";"0.13167";"25.52";"-9999";"12.478";"0.0055363"
"25/01/2017";"11:30";"0.3735";"32.586";"-9999";"12.466";"-0.0020963"
"25/01/2017";"12:00";"0.36061";"25.15";"-9999";"15.551";"-0.0020963"
"25/01/2017";"12:30";"0.35652";"2.3281";"-9999";"15.446";"0.006826"
"25/01/2017";"13:00";"0.2191";"0.077685";"-9999";"18.431";"0.0033608"
"25/01/2017";"13:30";"0.26051";"-8.5584";"-9999";"19.821";"0.0011057"
"25/01/2017";"14:00";"0.27871";"-13.226";"-9999";"21.33";"0.00088793"
"25/01/2017";"14:30";"0.3577";"-13.389";"-9999";"7.4366";"-0.0012735"
"25/01/2017";"15:00";"1.1912";"-5.0889";"-9999";"7.4366";"0.00065567"
"25/01/2017";"15:30";"1.3374";"-5.0889";"-9999";"5.9882";"0.00065567"
"25/01/2017";"16:00";"1.3374";"-5.0889";"-9999";"7.099";"0.0012393"
"25/01/2017";"16:30";"1.3374";"-5.0889";"-9999";"7.099";"0.0012393"
"25/01/2017";"17:00";"1.3179";"-15.913";"-9999";"9.7047";"-0.00090244"
"25/01/2017";"17:30";"1.1831";"-32.663";"-9999";"9.8507";"0.0054919"
"25/01/2017";"18:00";"1.2889";"-45.891";"-9999";"8.755";"0.0087661"
"25/01/2017";"18:30";"1.159";"-8.348";"-9999";"3.2873";"0.0042651"
"25/01/2017";"19:00";"1.0515";"-5.7021";"-9999";"0.86709";"0.0081703"
"25/01/2017";"19:30";"4.1226";"-48.617";"-9999";"-2.2726";"0.010136"
"25/01/2017";"20:00";"20.482";"-48.617";"-9999";"-14.172";"0.010136"
"25/01/2017";"20:30";"20.482";"-44.816";"-9999";"-14.172";"0.010136"
"25/01/2017";"21:00";"20.482";"-57.485";"-9999";"-14.172";"0.0086376"
"25/01/2017";"21:30";"20.482";"-57.485";"-9999";"-14.172";"0.0086376"
"25/01/2017";"22:00";"1.5883";"-21.993";"-9999";"-5.2057";"-0.005245"
"25/01/2017";"22:30";"0.97435";"-33.333";"-9999";"-3.0822";"-0.019662"
"25/01/2017";"23:00";"1.1116";"-15.794";"-9999";"-0.97922";"-0.0053645"
"25/01/2017";"23:30";"1.1459";"-13.987";"-9999";"-0.51931";"-0.0053645"
"26/01/2017";"00:00";"1.1719";"-12.959";"-9999";"-0.38165";"-0.0053645"
"26/01/2017";"00:30";"1.2384";"-12.822";"-9999";"-0.048535";"0.0028767"
"26/01/2017";"01:00";"1.2071";"-11.054";"-9999";"-0.10704";"0.0091421"
